game,outcome,end_reason,n_moves,loss,moves
11,B,material_resign,130,4.236943,e2e4 h7h5 b1c3 d7d6 f2f3 g7g5 f1e2 f8g7 a2a4 h8h7 d2d4 b7b5 a4a5 b8c6 f3f4 c8f5 c1e3 d8c8 e1d2 c6d4 c3d5 a8b8 g2g4 e7e6 c2c4 b5b4 d1e1 d4c2 e1d1 e8f8 b2b3 c8d7 e2f3 h7h8 d1e2 b8a8 a1b1 c2e1 b1e1 d7d8 e1f1 f5g4 e2g2 d8e8 e3d4 a8d8 f3g4 h8h7 d5e7 d8c8 h2h4 h7h8 d2e3 h8h7 g2g3 c7c6 g3f3 c6c5 f1c1 g8h6 f3f2 c8b8 g1e2 g7h8 h1g1 h6g8 g1g2 e8e7 e3d2 b8a8 d4e3 e7d8 g2g3 e6e5 c1f1 d8d7 e2c3 h8g7 f1e1 d7c8 e1f1 c8b8 f1e1 b8c8 e1e2 c8d8 g4h5 d8b8 c3d1 h7h8 h5f7 h8h7 e3c5 h7h5 d2e3 g8f6 f2f3 h5h8 f3g4 h8g8 f4f5 f8e7 e2f2 g7f8 f2f3 g8g7 e3d2 b8e8 f3f2 g5h4 f2g2 e8d8 g4g6 d6c5 d2e1 f6h5 e1f1 d8d2 f7e6 a7a6 f1g1 h4g3 g1f1 d2c2 g6e8 e7e8 f1e1 f8e7 e1f1 e8f8
12,W,value_resign,50,3.660098,g1f3 g7g5 c2c3 e7e5 d2d3 e8e7 f3g1 h7h5 d3d4 d7d5 e1d2 a7a6 b2b3 c8d7 d2e1 b7b6 d4e5 f7f5 e2e3 b8c6 g1f3 d7c8 c1d2 f8g7 f1e2 c6d4 f3g5 h8h7 f2f4 g7f8 g5h7 f8g7 e2f1 a8b8 h2h3 g7f8 c3c4 c8d7 b1c3 d8e8 g2g3 b8c8 f1g2 d7e6 e3e4 g8f6 h1g1 e6f7 g2h1 c8d8
13,W,value_resign,68,3.586886,g1f3 a7a5 a2a4 c7c5 f3e5 g8h6 g2g4 b7b6 e5c4 h6f5 b1c3 c8b7 c3e4 h8g8 a1b1 b7a6 b2b4 g7g5 f1g2 a8a7 g2f1 f8g7 f1g2 d8c8 h2h3 g7f8 g2f3 f8g7 e4g5 g8h8 g5f7 c8b7 h1h2 f5d6 f3h1 g7f8 g4g5 e7e6 h3h4 f8e7 e1f1 e8f8 e2e4 e7d8 d1e1 d8f6 h2h3 b7c8 e1e2 a7b7 e2e3 f8g7 f2f3 h8g8 f1g2 g8h8 g2f1 h8g8 b1a1 a5b4 a1a2 g8h8 f1g2 d6e4 e3e4 h8g8 h3g3 g8h8
14,D,cap_draw,150,3.415313,g1f3 g7g5 e2e3 e7e6 b1c3 f8g7 f3g5 b7b6 b2b3 g8e7 g5e6 f7f6 c3d5 a7a6 a2a4 g7f8 c2c3 h7h6 e1e2 f6f5 g2g4 f8g7 c1b2 h6h5 d1b1 b8c6 e2f3 b6b5 f1e2 h8g8 f3f4 b5b4 b2c1 c6d4 e3e4 a8b8 c3c4 c8b7 f2f3 g7f8 c4c5 c7c6 e2d1 d8c8 e6g7 f8g7 c1b2 e8d8 h1g1 g7f8 g1h1 f8g7 h1g1 e7g6 f4g5 a6a5 f3f4 g7f8 b2c1 f8g7 g1h1 g7f8 b1a2 g8h8 h1f1 f8g7 d5e7 g7f8 f1f2 f8g7 d1f3 h8h7 c1b2 d8e8 b2c1 e8d8 c1b2 d8e7 b2d4 h7h8 a1b1 e7e6 f3g2 g6f4 g2f3 g7f6 d4f6 h8h7 b1c1 h7f7 c1d1 d7d5 e4f5 e6d7 d1c1 f4e6 g5g6 c8e8 c1d1 e8d8 g4g5 b7a8 g6f7 d8c8 d1e1 e6d4 a2c2 c8a6 e1e2 d4b3 c2c3 b8c8 e2e7 d7d8 h2h3 b4c3 d2d3 c8b8 f3d5 b8c8 f2f4 b3a1 f6g7 c8c7 f4f1 a1b3 g7d4 d8c8 f1f2 c8b8 f2f3 b8c8 f3f4 c7d7 h3h4 d7d8 d5f3 d8e8 f3g2 c3c2 g2f1 b3d2 f1g2 c8d8 d4e5 e8e7 f7g8 e7e5 f4d4 d8e8
15,B,value_resign,19,3.323383,c2c3 g7g5 g1f3 e7e6 h1g1 e8e7 d1a4 b7b5 e2e4 f7f5 e1e2 c7c5 d2d4 a7a6 b2b3 b5a4 c1b2 d7d6 h2h3
16,W,material_resign,43,3.480545,g2g4 f7f5 a2a4 a7a6 c2c4 c7c6 e2e3 b7b5 f1h3 g7g5 e1f1 e8f7 f2f3 c8b7 d2d4 d8e8 d1d2 e7e6 f3f4 a8a7 b1a3 e6e5 d4e5 e8e7 f1f2 e7d6 f2f1 g8e7 d2c2 f7g7 c2f5 h8g8 f1g2 d6d5 g2f2 e7g6 f5c2 f8d6 c4d5 b7a8 c2c3 g6f4 a3b5
17,W,material_resign,69,3.311130,c2c3 g7g5 g1h3 b8c6 h3f4 f7f5 d1b3 a8b8 h1g1 a7a6 h2h4 h7h5 c3c4 b7b5 b3d3 c6e5 d3a3 h8h7 a3e3 g8h6 c4b5 c7c5 b5a6 h6g4 e3e4 b8b4 e4d5 c8a6 g2g3 f8g7 d5c5 a6e2 e1e2 b4b8 f1g2 b8b5 g2f3 d8c8 g1g2 g7h8 d2d3 c8d8 f3g4 d8c8 c5a3 c8d8 d3d4 e8f7 e2d1 d8c8 b2b4 c8b8 b1d2 b8c8 g4h3 f7g8 d1e1 c8d8 a3b2 g8g7 d2f1 g7f8 c1d2 b5b4 d2b4 d8c8 h3g4 c8b7 f2f3
18,D,cap_draw,150,3.490881,g2g4 g7g5 b1c3 b8c6 g1h3 b7b5 f2f4 c6d4 e2e4 f8g7 b2b4 a7a6 h3g1 c7c5 c3d5 d4f5 f1e2 g7b2 c2c3 e7e5 h2h4 c8b7 h1h3 d7d6 e2f1 d8d7 f1e2 g8e7 e2f1 h8g8 d1e2 g8f8 a1b1 a8b8 e1f2 b8c8 c1b2 c8d8 b2c1 f5d4 c1b2 d4e6 e2d3 d8c8 b2a1 e7g8 b1c1 b7a8 d5e7 d6d5 g1e2 c5c4 d3e3 c8d8 c1d1 d8c8 d1e1 e8d8 f4f5 d7b7 e1b1 d8c7 h4h5 c8d8 e7c8 f7f6 h3h4 c7c8 h4h3 d8e8 h3h4 c8d8 f2e1 d8e7 f1g2 e8b8 g2f1 f8e8 f1g2 e8f8 g2h1 f8e8 b1c1 g8h6 e3f2 e8f8 f2g2 f8h8 g2h3 e7d8 e2g1 h8g8 g1f3 g8h8 e1d1 h8g8 d1e1 b8c8 h1g2 g8h8 e1f1 h8g8 f1g1 c8b8 g1h1 d8e8 g2f1 e8d8 f1g2 b7d7 c1b1 e6f8 b1b3 b8c8 h1h2 d7d6 g2h1 d8e8 a2a3 g8g7 h1g2 c8b8 g2h1 g7g6 h1g2 e8d8 g2f1 b8c8 h2g1 d6c5 d2d4 c5d4 g1h1 d8e8 f1g2 c4b3 h5g6 c8d8 g2f1 a8c6 c3c4 d8d7 f1g2 e8d8 h1h2 d8e8 g2h1 h6f5 h1g2 f5d6
19,W,material_resign,95,3.399314,e2e4 g7g5 f2f3 h7h5 b2b4 f7f5 b1a3 b8c6 f1c4 h8h7 e4e5 f8g7 g2g4 c6d4 c1b2 g8h6 a1b1 b7b6 f3f4 c8b7 c4d3 e8f7 d3f1 d8e8 a3c4 a8b8 e5e6 d7e6 c4d6 f7f6 h2h3 h7h8 f1e2 b7c6 h3h4 a7a5 b2c1 c6b5 h1h2 h8g8 h2h3 e8f7 f4g5 f6e5 h3g3 d4f3 g1f3 e5f4 e1f2 b8b7 d1e1 g8f8 e1d1 f8e8 f2e1 b5c4 c1b2 e8c8 e1f1 h6g4 f1g2 c4b5 b2a1 c8b8 g2h1 g7h8 h1g1 b8a8 e2b5 a8a7 d6c4 h8g7 b4a5 f7e8 d1e1 g7e5 e1d1 e8d8 b5c6 d8h8 c6d7 h8h6 b1b4 e5f6 d2d3 h6h7 d1d2 f4g3 d2c1 h7h6 g5h6 g4e5 a2a4 b7b8 c1d2
20,B,material_resign,34,3.324026,e2e3 g7g5 d2d4 b8c6 f1d3 c6e5 g2g3 g8h6 c2c4 b7b5 d3f1 b5b4 d1e2 f7f6 e1d1 e8f7 e3e4 d8e8 b2b3 a7a6 d1c2 a8a7 f2f3 f6f5 c1g5 e7e6 a2a4 f8d6 e2d3 e5d3 f1g2 e8e7 g2f1 e7f8
21,B,material_resign,122,3.376011,f2f4 b7b6 c2c4 f7f6 d2d4 c8b7 d4d5 b8c6 b2b3 c6e5 e2e3 b6b5 f1e2 g8h6 e2f1 e5f3 e1f2 h8g8 d1e2 e7e6 g2g4 f3h4 c1d2 b7c8 a2a4 a7a6 e2d1 d7d6 f1g2 e8e7 g4g5 h4g2 a1a2 h6f5 d1h5 d8e8 g1h3 c8d7 a2b2 e8g6 h5f3 a8b8 d2a5 b8a8 a5d2 d7e8 e3e4 a8a7 d2e3 e6e5 f3g4 f6g5 f2f1 f5d4 f1g1 e7f6 e3d2 f8e7 g4c8 g6e4 d2c1 g8h8 g1f1 h8g8 c1d2 g8h8 h1g1 e7d8 f1f2 d4e2 g1g2 d8e7 g2g3 h8g8 d2a5 g8h8 g3g4 c7c6 b1d2 c6d5 f2e1 h8g8 h3g5 g7g6 h2h3 g8h8 e1d1 h8g8 g4h4 e2c1 d2e4 d5e4 d1e1 d6d5 a4b5 g8h8 e1f2 c1d3 f2g3 h8g8 f4e5 f6e5 g3g4 g8h8 c4d5 d3b2 g4g3 e5d5 c8e8 e7d6 g3g4 b2c4 e8e7 d6e7 g5f7 a7a8 h4h7 h8h7 a5c7 a8b8 f7e5 b8c8
22,W,material_resign,33,3.464522,b2b4 g7g5 b4b5 b8c6 c2c3 f7f6 d1a4 c6e5 g1f3 c7c6 h1g1 e8f7 e2e3 b7b6 e1e2 f6f5 a4a7 f8g7 e3e4 e5g4 c1b2 h7h5 d2d4 h8h7 a7a8 g4e3 b2c1 g7f8 f2e3 h7g7 e2d1 d8e8 f3h4
23,B,material_resign,118,3.161607,c2c3 g7g5 d1a4 b7b6 e2e4 g8h6 e1e2 h8g8 e2e3 f7f6 d2d4 e7e5 b2b3 a7a6 c1d2 c7c6 g1h3 e8e7 d2e1 d8e8 h1g1 e8d8 g2g4 f8g7 e1d2 d8c7 g1h1 g8f8 f2f3 f8e8 f1e2 e7f7 a4c6 e8e7 c6a8 a6a5 b1a3 c7d8 d2e1 d7d5 a8a7 d8d7 c3c4 e7e8 a1b1 e8g8 b1d1 c8b7 d1a1 d7c8 e1f2 g7h8 d4e5 c8d8 a3b1 b6b5 h1g1 b5c4 e2f1 b8d7 g1g2 b7c6 a2a3 d5d4 e3d2 h8g7 a7b8 f7e7 f1e2 d7c5 f3f4 d8c8 b8b6 g8f8 e2f1 f6f5 b6d8 f8d8 e5e6 c8b7 g4f5 d8e8 f2e3 g7h8 f1e2 b7c7 g2g3 c5b3 d2e1 e7f6 e1d1 e8f8 g3g4 h6f7 d1e1 f8e8 e1d1 h8g7 e6e7 h7h6 e2f1 c6e4 d1e2 d4d3 e2e1 d3d2 e1d1 e4b1 g4g5 c7f4 h3g1 e8g8 e3d2 h6g5 f1c4 b3d4 c4e2 g7h8
24,D,cap_draw,150,3.366329,c2c4 g7g5 e2e3 e7e5 f2f4 f7f5 d2d4 a7a6 e1d2 e8e7 d1c2 d7d5 e3e4 f8g7 h2h4 g8h6 c2c3 d8d7 c3a5 d7d8 b1c3 b8c6 d4e5 h6g8 a2a3 c6d4 a5a6 c7c5 c3b5 d8d7 a6a8 d7b5 a1b1 d5e4 f1d3 c8d7 d2d1 g8h6 e5e6 b5b6 d1d2 d7c6 b2b3 h8g8 b1b2 d4b3 d2e1 g8h8 c1d2 h8g8 e1d1 g8h8 d2e1 g5h4 d1c2 h8g8 e1d2 g7d4 d2e1 e4e3 e1d2 b6a7 g2g3 b3a5 d2e1 g8f8 e1d2 f8e8 h1h2 e7f6 h2h3 h6g4 d2e1 a5b3 a8d8 e8e7 e1d2 g4h2 g3g4 b3d2 g1f3 a7a6 h3h4 c6d7 b2b4 b7b5 c2d1 d2c4 d1c1 a6b7 h4h7 c5b4 g4f5 d7c8 c1d1 b7b6 d1c1 c8b7 c1d1 b7c8 d1e1 b6a5 e1d1 c8d7 d1c1 d7e8 c1d1 d4a7 f3g5 e3e2 d1c2 c4e3 c2c1 e3d1 c1d2 d1f2 d2e1 e8f7 e1e2 f7g8 e2e1 g8f7 e1d2 f7e8 d2c1 h2f3 c1b2 e8d7 d3e4 a7d4 b2b1 d4a1 h7e7 d7e6 a3a4 e6f7 b1c1 f7h5 d8c8 a1b2 c1c2 f2d3 e4c6 f6e7 c2d3 e7d6 g5h7 b2c3 d3e4 d6e7
25,W,material_resign,63,3.528904,c2c3 f7f5 d1a4 g7g5 g1f3 e8f7 h1g1 c7c5 e2e3 d8e8 a2a3 b7b5 g1h1 g8h6 f1e2 c8b7 a4g4 f7g7 h1g1 h8g8 g2g3 e8f7 g4f5 a7a6 e2f1 b7c8 e1e2 b5b4 f3e5 f7f6 h2h3 c8b7 a1a2 h6f7 f1g2 a8a7 g2e4 b7c6 e2f1 a7c7 d2d4 e7e6 f1g2 g8h8 e5d7 f6f5 a3b4 a6a5 g3g4 f5f4 d4c5 c6d5 a2a1 c7c6 e4d5 a5a4 d7f8 h8g8 e3f4 h7h6 b1d2 g8h8 g2h2
26,B,material_resign,76,3.352017,e2e3 g7g5 d1h5 b8c6 f2f4 a8b8 a2a4 c6e5 d2d4 b7b5 f1d3 d7d5 b1c3 b8a8 e1d2 c8f5 d2e1 b5b4 h5h7 h8h7 g2g3 f5e4 c3e4 d8d7 a1a2 e8d8 e1d2 c7c6 d2e1 d8e8 d3e2 a7a6 c2c3 e5c4 b2b3 f7f5 c1d2 a8b8 h2h3 b8a8 e2f1 d7c8 e1d1 g8h6 f1e2 c8b7 d1e1 f8g7 e2d3 e8d8 h3h4 b7b6 g1e2 g7h8 h4g5 b6b7 d3c2 a8b8 e1d1 a6a5 d1c1 b8c8 h1g1 d5e4 g1g2 b7b6 e2g1 h8g7 c2d1 g7h8 d1e2 c4e3 e2d1 d8c7 d1e2 c7d8
27,B,value_resign,40,3.637451,d2d4 e7e6 c2c4 f8c5 e2e4 d7d5 d1g4 b7b5 c1g5 h7h5 b1a3 h8h7 e1d2 b5b4 a3b1 b8c6 g1h3 e6e5 f1e2 c8f5 e2f1 d5e4 b1a3 e5d4 a3b5 a7a6 f2f4 c5f8 d2e1 g7g6 a1b1 c6e5 e1d2 e5c6 h3g1 d8d7 b2b3 c6b8 g5d8 f8g7
28,B,material_resign,62,3.309923,f2f4 f7f5 g2g4 c7c6 c2c4 e7e6 d1a4 c6c5 e2e4 d8e7 f1e2 h7h5 g1f3 f5e4 h1g1 e8d8 b2b4 b7b6 e2f1 g7g5 b1c3 a7a5 g4h5 c8a6 f1e2 e4e3 h2h3 f8g7 a4c2 d8c8 e1f1 e7d8 h5h6 d8e7 f3e5 g7f8 g1g2 c8b7 c2d1 e7d8 d1a4 d8e7 f1g1 h8h7 c1b2 f8g7 e5g6 a6c4 e2d1 g8h6 g2g3 e7d6 a1b1 g7f8 d1b3 f8g7 a4d7 b8d7 a2a4 d6d3 b2c1 h6g4
29,B,material_resign,28,3.500999,c2c3 c7c5 d1a4 f7f5 e2e3 b8c6 a2a3 d8b6 c3c4 e7e6 g2g3 c6e7 a4c2 a7a5 c2a4 e7g6 e1e2 g8e7 b1c3 e7d5 g1f3 b6a6 a4d7 e8d7 a1b1 h7h5 d2d3 h8h7
30,B,material_resign,34,3.239982,c2c3 f7f5 d1c2 b7b5 f2f4 b8c6 c2f5 g8h6 e2e4 e7e6 g2g4 e8e7 f1e2 c6d4 h2h3 c7c5 g1f3 d8e8 h1g1 d4e2 e1f1 h6g4 f1e2 d7d6 g1f1 c8d7 a2a3 e8f7 c3c4 f7f5 f1e1 f5f4 f3g5 d6d5
31,W,value_resign,14,3.486740,c2c3 f7f5 g1h3 g7g5 b1a3 b7b5 h3g5 b5b4 e2e4 b8c6 h2h3 d7d5 g2g4 c8b7
32,B,material_resign,78,3.257156,e2e3 a7a5 g2g4 f7f5 d1f3 g7g5 e1e2 f8g7 c2c4 b8c6 a2a4 c6d4 e2d1 a8b8 f1e2 d4e2 b2b3 e8f7 d2d4 c7c6 f3f4 b7b6 c1d2 c8b7 b3b4 d8e8 e3e4 b8c8 f4b8 g7f8 f2f4 e2f4 a1a2 e7e5 d2e3 g8f6 d1e1 f8e7 e1d2 a5b4 a2a1 f6g4 d2e1 e5d4 e3d2 f4h3 e1e2 e7d8 d2c1 h7h5 a1a3 g4f2 g1h3 f2e4 b8c7 h8h7 e2d3 c8a8 a3b3 a8a6 c7d6 e8e5 h1g1 e5h2 c1e3 h7h8 g1f1 h8g8 f1e1 f5f4 e3f4 g8f8 d6e7 f7e7 e1d1 h2f4 d1c1 f8e8
33,B,value_resign,30,3.199786,f2f4 a7a5 c2c3 f7f5 e2e3 g7g5 d2d4 f8g7 e3e4 d7d6 e1e2 g7h6 b2b3 h6f8 a2a4 b8c6 c1d2 c8e6 g2g4 f8g7 e2e3 a8c8 f1g2 f5g4 g1h3 g7f6 d1c2 g4g3 g2f1 e8f7
34,W,material_resign,105,3.319825,e2e3 g7g5 g2g4 f7f5 d2d4 c7c6 g4f5 e7e5 f2f3 d8f6 e1e2 e5d4 c2c3 d7d5 d1c2 e8d7 e3e4 b7b6 a2a4 f8e7 e2d1 e7f8 f3f4 f8e7 g1h3 e7f8 h3g1 h7h5 f1e2 b6b5 h2h3 c8b7 b2b3 f8g7 c1d2 h8h7 h3h4 a7a6 c3c4 g8e7 h1h2 g7h6 e2f1 f6f8 f1e2 d7c8 d2e1 f8g8 h2h3 g8g7 e1d2 g7h8 d2c1 h8g7 e2f1 c8d7 g1e2 g5f4 e2g1 d7e8 f1e2 e8d8 c1d2 d5e4 d2e1 c6c5 h3g3 f4g3 e2d3 e4e3 e1d2 g3g2 d2e3 b5b4 e3h6 a8a7 a1a2 d8d7 b1d2 a7a8 g1e2 d7c6 c2c3 g7h8 d1e1 h8f6 e2g1 f6d6 e1d1 b7c8 f5f6 d6d5 g1f3 c8d7 c4d5 e7d5 a2a1 h7f7 c3c4 d5c3 c4c3 d7c8 c3c4 c8b7 d1c2
35,W,value_resign,27,3.538215,e2e3 f7f5 b2b3 g7g5 a2a3 a7a5 f1c4 b8c6 e3e4 a8b8 g2g3 g8h6 c2c3 h8g8 f2f4 a5a4 d1e2 c6d4 c4g8 e7e5 e2e3 g5f4 e1f2 f8a3 g8h7 f5e4 e3e4
36,B,material_resign,108,3.448979,f2f4 a7a5 b2b4 f7f5 h2h3 g7g5 b4a5 b8c6 c2c4 a8b8 g2g4 g8h6 a2a4 h6g8 e2e4 b7b5 f1g2 e7e6 g1e2 f8c5 f4g5 d8e7 e4f5 e6f5 a4b5 b8a8 g2d5 e7d8 d2d3 c6d4 c1d2 a8b8 d1c2 d8e7 c2c3 c8b7 d5c6 b8a8 c3c1 d4c2 e1d1 a8a7 h1g1 e8d8 g1g2 c5b4 d3d4 g8h6 g2g3 b7c6 d2c3 c6g2 c1d2 h8g8 d2e1 g2e4 e1d2 e7e5 g3d3 e5f6 g4f5 e4c6 d1c1 a7a6 d2e1 c2d4 e1d1 f6f5 d1c2 d8e8 c2d2 g8h8 c3d4 a6a7 d2e1 e8f8 e1d2 f8g8 d2e3 a7a6 c1d1 f5f2 e3f4 c6d5 h3h4 c7c6 b1c3 d5e4 a1a2 a6a5 d1c1 c6c5 g5g6 h6g4 a2a3 a5a6 c1c2 a6b6 c2c1 b6c6 h4h5 h7h6 f4f8 g8f8 a3a4 h8g8 a4a3 g8g7
37,B,material_resign,102,3.242050,f2f3 e7e5 b1c3 d8g5 f3f4 b7b5 b2b4 f8d6 a2a4 c7c5 c3d5 e5f4 d5e7 c8b7 e2e4 e8f8 g1f3 g5g2 c2c4 f8e8 f1e2 b7e4 h1g1 b5c4 a1b1 e8d8 g1f1 d6c7 f1g1 g8h6 b1a1 h8g8 f3h4 g8f8 e7d5 f8e8 d5b6 e8e7 e2f3 e4d3 d1e2 d8e8 h4g2 e8f8 e1f1 c7d8 f1e1 f7f6 e1f1 e7e6 b6c4 d8e7 c1a3 f8e8 a1c1 h6f7 c1c3 e6a6 f1e1 d3e4 e2f1 e4d5 e1f2 e7d8 f1e2 d5e4 g1e1 d8e7 e1f1 e8d8 b4b5 f7e5 g2e1 g7g6 e2e3 d8e8 c4b6 e8d8 c3c4 e4b1 e3e4 d7d6 f2g1 b8c6 d2d3 e5c4 a4a5 c6b8 b6d7 d8e8 e4d5 e8d8 d5f5 c4a5 d3d4 c5d4 g1g2 g6f5 f1f2 a5c4 g2f1 c4a5
38,W,material_resign,87,3.139495,e2e3 g8f6 g2g3 h8g8 f2f4 g7g5 g1h3 b7b5 e1f2 c7c5 b2b3 c8b7 g3g4 g8h8 f1e2 e7e6 h1g1 f6d5 c2c3 a7a6 e2f1 d8f6 f1e2 d7d6 e2f1 a6a5 a2a4 f6f5 d1e2 h8g8 c3c4 e8d7 a1a2 f8h6 f1g2 g8h8 e2e1 h8g8 e1f1 d7c6 f1e2 b7c8 g1h1 g8f8 h1g1 c6d7 c1a3 d5e3 e2f1 e3d5 f1e2 f7f6 e2f1 f8g8 f1e2 g8h8 g2f1 h8g8 e2d3 b5b4 g1g2 d7e8 h3g5 e8f8 f2e1 e6e5 g2g3 d5f4 g5e4 f8e7 g4g5 b8a6 g3g4 f4h3 g5h6 c8b7 d3d4 g8g5 f1e2 a8b8 g4g5 b8c8 g5f5 c8d8 e2f3 d8a8 f5f6
