game,outcome,end_reason,n_moves,loss,moves
11,W,material_resign,131,8.257893,c2c4 g7g6 g1f3 b7b5 b1a3 g8h6 f3d4 h6g4 g2g3 b8a6 d1a4 a6b4 a4b4 g4h6 a3c2 e7e5 h1g1 a7a6 c4c5 d8g5 d2d3 f8c5 c2a3 h8f8 a1b1 g5d8 b4a5 a8a7 b2b4 h6g8 a5c7 c5b6 d4b3 d8g5 c1d2 g5d2 b3d2 h7h5 c7d8 e8d8 h2h4 f7f5 d2e4 d7d6 e4f6 b6c7 e1d2 c8e6 a3c4 e6f7 a2a4 c7b8 d2e1 f7c4 b1d1 f8f7 f6d7 c4a2 g3g4 b8c7 d7e5 f7f8 e5c4 c7a5 b4a5 a7a8 c4d2 d8d7 g4g5 f5f4 d1b1 g8f6 f1h3 a2e6 b1a1 f8g8 d2f1 f4f3 e2e3 a8c8 g5f6 c8c2 g1g4 e6d5 e1d1 d5c4 g4g3 d7e8 g3g4 b5b4 a1a3 c4f7 g4d4 c2e2 e3e4 e2e4 a3c3 e4e6 h3g4 g6g5 d4f4 b4c3 d1c2 g5h4 g4h3 g8h8 f1g3 e6e7 f4f5 e7e2 c2c1 e2b2 g3f1 c3c2 h3g4 b2b5 f1g3 f7g8 g3e2 b5c5 c1d2 h4h3 d2c1 h3h2 f6f7 e8d8 f7g8q d8e7 f5d5 h5h4 g8f8
12,W,material_resign,53,8.082636,b1c3 f7f6 h2h3 c7c5 c3b5 g7g5 b5c3 g8h6 c3a4 g5g4 a4b6 a7a5 f2f3 a8a6 b6d7 f8g7 a2a3 h6g8 a1b1 a5a4 c2c4 b7b6 e2e4 g7h6 d1b3 e8d7 b3b6 h6f4 b6a6 g4g3 a6b6 f4d6 b6c6 d7e6 f1d3 h7h5 d3e2 g8h6 h3h4 h8h7 d2d3 b8d7 c1h6 d7f8 c6b7 d6e5 b1d1 d8d3 d1d3 e5d4 e1d1 h7f7 b7c6
13,B,material_resign,26,7.997701,e2e4 f7f6 d1h5 g7g6 a2a3 f8h6 e4e5 f6f5 e5e6 a7a6 h5f5 h6g7 f5b5 g7h6 a1a2 c7c6 g2g4 d8c7 f1d3 c7d8 a3a4 a6b5 d3e2 h6f8 e1f1 b5b4
14,W,material_resign,39,7.953288,g1f3 b8a6 d2d3 g8f6 e2e4 h8g8 b2b3 b7b5 f3h4 e7e5 e1e2 h7h5 a2a4 d7d5 e2f3 e8e7 c1d2 g7g6 h4g6 e7e8 g6e5 c8g4 e5g4 g8h8 b1c3 f8a3 d2e3 b5b4 e3h6 c7c5 f3e2 d8d6 e2e3 a8b8 a1a3 h8h7 c3b1 d6f4 e3f4
15,B,material_resign,62,7.825830,g1f3 c7c6 g2g3 d7d6 f3g5 c8d7 e2e3 h7h6 g5e6 g8f6 b1a3 f6d5 b2b4 d5c3 f1g2 d6d5 e3e4 a7a6 a3b5 d7e6 d1f3 b7b6 c1b2 d5e4 f3f4 g7g6 b5d6 e8d7 a2a4 e6h3 h1g1 h3f5 a4a5 d8e8 d6e4 e8d8 g2h1 c3e4 b2e5 c6c5 e5c3 f5h3 c3d4 h3f5 e1c1 e4f6 f4e4 f5g4 e4e5 h8h7 e5c5 g4h3 h1d5 g6g5 g1e1 e7e5 d4c3 f6d5 c5c6 b8c6 g3g4 a8b8
16,B,material_resign,100,7.949929,e2e3 b7b5 d1g4 c7c5 e1e2 b8a6 f2f3 c5c4 e2e1 d8c7 d2d4 c8b7 e1d1 a6b4 c2c3 h7h6 g1h3 c7c6 g4g3 c6c7 g3e1 e7e6 d4d5 b4d5 e1e2 a8d8 g2g4 b7c8 e2f2 d5e3 c1e3 e6e5 b2b3 h8h7 h3g1 c4b3 e3a7 d7d6 f2d2 g8e7 g1h3 d8d7 a2a3 c8b7 a7c5 b7a6 c5a7 c7c6 f1d3 d7a7 g4g5 c6d7 d3c2 a6c8 c2h7 e7d5 g5g6 d7h3 d2c2 c8a6 c2a2 h3e6 d1e2 f8e7 a2b2 d5f6 e2e1 f6d7 a3a4 f7f5 a4b5 a7b7 e1f2 e5e4 b2a2 e6g6 h1d1 b7b5 a2a4 d7b8 a4a6 b5d5 h7g8 e8d8 d1h1 e4e3 f2e1 g6f7 b1d2 b3b2 h1g1 d5b5 a6c8 d8c8 d2b3 b2a1q b3c1 f7a2 g8c4 b5b1
17,B,material_resign,28,7.779033,e2e4 b8c6 d1g4 a8b8 e1e2 f7f6 b1a3 c6e5 a3c4 c7c6 c4a3 d8a5 g4f5 a5b5 e2e3 h7h6 b2b4 e5f3 g2g3 b5a6 f5h7 f3g5 f1h3 g5h7 b4b5 a6a3 e3d4 d7d6
18,B,material_resign,130,7.898265,g2g3 a7a5 f2f3 e7e6 d2d4 d7d6 b2b4 d8g5 e1f2 g5b5 c1d2 b5h5 d1e1 g8e7 b4a5 f7f6 e2e3 e8d8 f2e2 b7b5 h2h4 h5g6 e3e4 g6g5 h4h5 g5f4 d2c3 e7c6 f1g2 f4c1 h5h6 c6e5 e1d1 h8g8 d4d5 c1a3 d1e1 a3c1 g1h3 b8d7 b1d2 c1d2 c3d2 e5c6 e4e5 g7g5 d2c1 d7e5 c1b2 g8h8 e2f1 d8e7 c2c3 e6d5 e1e4 f6f5 b2c1 f5e4 h3g5 e7d8 h1h5 c6d4 c1e3 c7c5 a1e1 d4c2 e1e2 c8a6 g5h3 a8a7 g3g4 a7b7 a2a3 b7b6 h5g5 c5c4 e3f2 b5b4 f1g1 e5g4 g1h1 c2e3 f3f4 g4f2 h3f2 d5d4 g5g4 f8g7 e2e1 d6d5 e1a1 d8c7 g2e4 h8c8 a1a2 e3f5 f2d3 d5e4 d3e1 b4a3 g4h4 f5g3 h1h2 b6b2 h2h3 c8d8 h6g7 g3e2 h3g4 a6b7 h4h5 c7c6 h5f5 d8d7 f5f8 b2b1 g4h5 b7c8 h5h6 d7g7 f8e8 c6b5 h6h5 c8a6 h5h6 b1e1 e8e6 g7g8 e6e7 b5c6
19,B,material_resign,62,7.680603,g2g4 e7e5 e2e3 f7f5 f1h3 e8e7 e1f1 b8a6 d1f3 b7b5 b1c3 e7f7 f3f4 g7g6 h3g2 g6g5 g2d5 f7g6 e3e4 c8b7 f4f5 g6g7 a2a4 d7d6 d5g8 b7e4 g8a2 e4h1 h2h4 a8b8 f5c8 b5a4 c3e2 h1f3 e2f4 b8b3 c2c3 f3g2 f1e2 b3a3 c8b8 c7c6 a1b1 f8e7 b8b4 h8f8 b1a1 f8g8 a2g8 g7g8 b4b6 g8h8 b6c5 a6b8 f4d3 d8a5 c5c6 b8c6 g1h3 d6d5 b2b3 e7c5
20,B,material_resign,34,7.684281,f2f3 e7e5 e1f2 b8c6 h2h3 c6d4 b1a3 h7h6 h3h4 d4f5 h1h2 g7g5 h4h5 e8e7 g2g4 b7b6 d2d3 f7f6 d1d2 c8b7 f2g2 e5e4 g1h3 a7a5 b2b4 e7f7 d2e3 e4d3 e3e8 d8e8 c1e3 b7f3 e2f3 d3c2
21,B,material_resign,124,7.720541,c2c4 e7e5 g2g4 g7g5 e2e4 d8e7 e1e2 d7d6 e2e3 e8d8 d2d4 c7c6 d1a4 f7f6 d4e5 e7d7 e5f6 g8h6 e4e5 h8g8 a4a3 g8h8 f1g2 f8e7 g2c6 d6d5 f2f3 e7f8 c4d5 d7e7 e3e4 e7f7 a3a6 d8c7 a2a3 f8d6 a6f1 h6g4 f1h3 d6b4 a3a4 g4h6 h3d7 b8d7 a1a2 c7b6 e5e6 f7f6 e4d3 d7c5 d3e3 h6f5 e3e2 f5h4 b1a3 f6f3 g1f3 c5d3 h1e1 d3c5 f3d4 b4a3 d4b5 h8f8 e2d1 c5d7 e1e5 a3c5 d1e2 d7b8 b5d6 c5b4 b2b3 f8g8 h2h3 b4c3 c6e8 g8e8 b3b4 h4f5 e2f2 f5e7 e5g5 c3f6 d6e8 b6a6 b4b5 a6a5 d5d6 e7g8 a2a1 h7h6 c1e3 g8e7 a1a2 a7a6 a2a3 f6a1 g5g6 a1f6 b5b6 e7d5 f2f1 f6e7 g6g8 c8e6 g8g7 e7g5 f1e1 b8d7 e1e2 a8d8 e2e1 e6f5 a3a2 f5b1 e8c7 d5e3 g7g6 b1g6 c7a8 d7b8 h3h4 e3f5
22,B,material_resign,40,7.548865,e2e3 e7e5 d1e2 e5e4 e1d1 f8c5 a2a4 e8f8 e2b5 d8f6 d1e1 c5d6 b5b4 a7a5 b4c4 a8a7 g2g4 g7g6 f2f3 g8e7 c2c3 d6c5 c4e4 d7d5 f1c4 h7h6 a1a2 g6g5 b2b3 e7g8 e4e6 f6f3 b3b4 a5b4 e6f7 f3f7 c4b5 a7a5 c1b2 f7h5
23,W,material_resign,145,7.488370,e2e3 g7g5 e1e2 e7e5 d2d3 f8e7 e3e4 b7b5 f2f3 d7d5 c1d2 e8f8 d3d4 g8f6 g2g3 c8h3 a2a3 c7c5 c2c3 d8d6 d4e5 b8a6 e2e3 c5c4 f1d3 h3d7 d3f1 d6c5 e3e2 c5c7 d2c1 a8c8 e2f2 a6c5 a3a4 f8e8 a1a2 d7c6 f1g2 c7b6 b1a3 h8f8 f2e1 e8d7 e1f2 b6a6 g1h3 a6b7 f3f4 a7a5 h3g1 e7d6 c1d2 b5b4 c3b4 d6e5 f2e2 e5c7 h2h4 a5b4 e2f2 c5d3 f2e2 d5d4 d2e1 c7e5 e2f3 g5f4 b2b3 c6d5 a2e2 c8b8 e1f2 f6h5 d1e1 d7e6 b3c4 b7c8 e2b2 c8b7 e1c3 f7f6 c4d5 e6f7 h1h3 b7e7 b2e2 f8g8 e2e3 d3c5 e3e1 h5g3 c3c2 g8g5 a4a5 e7d6 f2e3 d6e7 c2f2 g5g7 e1b1 g7g4 b1b3 c5d3 e3f4 f7f8 h3g3 h7h5 d5d6 e7b7 f2c2 g4g3 f3g3 b7b5 g3h3 b8a8 c2c1 f8g7 c1b2 a8a5 b3c3 e5d6 c3b3 b5c5 f4e5 g7h7 e5d4 d3e1 b3f3 b4b3 f3d3 a5b5 d3d1 d6h2 d1d3 h2d6 d4f6 c5b4 d3b3 b4a5 a3b5 a5a4 b5a7 a4a1 g2h1
24,B,material_resign,70,7.552455,g2g4 g7g5 b1a3 a7a5 g1h3 f8h6 e2e3 c7c5 b2b3 e8f8 e1e2 b8a6 a3b1 b7b5 a2a3 g8f6 a1a2 h6g7 h1g1 a6c7 d1e1 h7h6 c2c3 h8g8 d2d4 d7d6 c3c4 h6h5 h3f4 f6e4 f4d3 c7d5 e1d2 c8g4 e2e1 f7f6 b1c3 f8f7 a2c2 d5e3 f1e2 g4d7 d3e5 f6e5 f2f4 d8f8 g1f1 e5f4 d4d5 e3d5 e2d1 f8c8 f1f2 g8e8 a3a4 e4f6 d2f4 c8a6 d1g4 a8b8 c3b1 a6b7 c2c3 f7g8 g4e2 d5c3 e2d3 c3e2 d3e4 b7c7
25,B,material_resign,94,7.577329,g2g4 g7g5 f2f3 e7e5 h2h3 f8e7 e1f2 g8f6 b1a3 e8f8 d1e1 a7a5 h3h4 a8a7 e2e3 b7b5 f1g2 e7d6 b2b3 e5e4 h1h2 h8g8 g1e2 d6b4 h4h5 a5a4 d2d4 a7a8 b3a4 b5a4 c2c4 f6h5 d4d5 a8a7 e1d2 h5g3 a1b1 f8e7 e2g1 c7c6 a3b5 f7f6 a2a3 e7e8 g2h3 d8b6 b5d6 b4d6 f2g2 g3e2 c1b2 a7a5 d2e1 e8f8 b2c3 g8g6 c3e5 d6a3 e1f2 b6c7 e5d4 e2g3 d4c5 f8f7 b1b8 c8a6 b8h8 c7a7 f2b2 e4f3 g1f3 g6h6 b2b5 a7c7 h8d8 c7e5 d8a8 g3h5 c5d6 e5b2 g2h1 a3c5 h2e2 a6b7 d6g3 c5e3 f3g5 f7g7 a8c8 a5b5 c4c5 f6g5 g3f2 b2c2
26,W,material_resign,101,7.475607,e2e3 g7g5 b2b3 g8f6 g2g4 a7a5 d1f3 c7c6 a2a3 f6g4 f3g3 d8c7 e1e2 e7e5 g3f3 c6c5 b1c3 f8d6 a1a2 g4h6 c3a4 e8g8 g1h3 f7f6 f3e4 a8a6 h3g1 b8c6 f2f3 h6f7 e2d3 g8g7 c2c4 c7b8 d3c2 f8g8 c2d1 d6c7 f1e2 b7b6 a2a1 c8b7 a4b6 d7d5 e4d3 b7c8 g1h3 e5e4 h3g5 g8h8 a1a2 c7h2 c4d5 f6g5 d3d4 c6e5 h1e1 c5c4 b6a4 a6a8 a4c5 c8h3 d4a1 e4f3 b3c4 g7f8 c5d7 f8g8 d7f8 e5c6 e3e4 f7h6 f8d7 c6e5 a1b1 h2f4 a3a4 h3f1 b1a1 g8f7 e2f3 h6g4 d7e5 f7f6 e1e2 b8b3 a2c2 b3b6 e5d3 f6e7 d3b4 f4h2 b4c6 e7f8 d2d4 b6d4 c6d4 a8a7 d4b5 f1g2 c1a3
27,B,material_resign,78,7.439269,e2e3 b8c6 b2b3 g7g5 c2c3 e7e6 g2g4 b7b6 b3b4 d8f6 d2d4 f6f5 d1a4 b6b5 f1h3 f5b1 h3f1 f7f6 e1e2 d7d6 d4d5 a7a5 f2f4 e8f7 e2d2 c6d4 d2e1 b1e4 c3c4 f7g6 a2a3 e4b1 b4a5 b1e4 a1a2 g6f7 f1d3 b5c4 d3c4 f8h6 a5a6 e4g2 c1d2 e6d5 h2h3 f7e7 a2b2 e7e6 d2c3 g2f3 b2b5 a8a7 b5a5 f3g3 e1f1 c7c5 g1f3 c8b7 a4c6 g5f4 c6e8 g8e7 e8e7 e6e7 e3d4 g3g1 f1e2 g1e1 e2d3 e7f8 f3e5 e1e4 d3d2 d6e5 c4b3 b7c6 g4g5 f8e8
28,D,cap_draw,150,7.332386,g2g4 g7g5 b2b4 c7c5 d2d4 h7h5 e2e3 g8f6 g1h3 b8a6 h3g5 h8h7 a2a4 b7b5 g5h3 c5b4 c1d2 b4b3 b1a3 h7g7 d2a5 g7g6 a3c4 d8c7 d1b1 b5b4 g4g5 c7g3 h3f4 g3g4 f4h3 g4h3 h1g1 a6c5 c4a3 e7e6 a5d8 a8b8 d8f6 g6g5 f1g2 c5d3 e1e2 a7a6 e2d1 e6e5 f6e7 d3f4 g1h1 h3f5 d4d5 f8e7 a4a5 b8b7 a1a2 h5h4 h1e1 g5g4 a3c4 e7f8 a2b2 f8c5 e1h1 g4g5 h1g1 g5g8 c4e5 g8h8 g2e4 b7b8 e5f7 d7d6 g1g5 f5d7 e4h1 d7b5 g5g1 c8d7 f7h6 f4e6 g1g2 b5c4 g2g6 c4e4 h6f7 b8a8 g6h6 h8g8 b1a2 e8e7 d1e2 e6f8 b2b3 g8g1 a2a1 g1c1 b3b4 e4f4 c2c4 h4h3 a1a2 f4d4 h6h5 a8d8 h5h6 c1c4 h6g6 c4c3 a2a3 d4c4 e2e1 c4f4 h1e4 d8c8 b4b6 f8g6 f7h8 e7f8 b6a6 c5e3 e4f5 g6e7 f5e6 f4g5 h8f7 g5g4 e6f5 g4g7 f5e4 d7c6 a6b6 c8b8 a5a6 e7d5 e4h1 c3d3 f2f4 d3b3 b6b8 c6e8 e1e2 b3c3 b8b4 e3g1 f7h8 d5e7 f4f5 e7g8 h1b7 c3e3
29,W,material_resign,97,7.261575,g2g4 g7g5 a2a4 a7a5 g1f3 h7h6 b2b4 a8a6 h2h4 g8f6 h1g1 h8h7 c2c3 h6h5 d1c2 a6d6 c1b2 f8h6 a1a2 f6e4 h4g5 e7e6 d2d4 e4c5 b4b5 h5g4 b1a3 f7f5 a3b1 d8e7 e1d1 c7c6 f3e5 e7g7 a2a1 c6b5 c2f5 d6b6 f1g2 g7h8 f5h7 c5d3 g2h1 b5a4 g1f1 b6d6 a1a4 d3f4 f2f3 f4d5 e5c4 h8f8 h1g2 d5b4 b2a1 f8f6 h7f7 f6f7 f1h1 f7f5 h1g1 e8e7 d4d5 d6d5 d1c1 f5g6 a4b4 g6h5 b4b7 d5d1 g1d1 b8a6 g2h1 a6b4 b7b6 b4a6 b6b4 e7f8 d1d3 f8e7 b4b2 d7d5 d3d1 h6g5 c4d2 g5h4 d1f1 h4g3 b2b3 h5h8 b3b6 h8c3 a1c3 g4f3 c3g7 e7d7 d2c4
30,D,cap_draw,150,7.354403,g2g4 f7f6 b2b3 e7e5 e2e4 a7a5 e1e2 g7g5 e2e3 h7h6 b1c3 c7c5 d2d4 d8c7 c1d2 e8f7 f1b5 h6h5 e3d3 h8h7 d2g5 h5g4 c3b1 c5c4 d3e3 f8d6 b5d7 c7b6 d7b5 f7e7 d1g4 f6g5 g1h3 c8e6 h1f1 e6f7 c2c3 g8f6 g4g1 e5d4 e3e2 e7e6 b5c4 f6d5 f1d1 a8a7 b1a3 e6d7 e4e5 d6c5 e2d2 f7g8 g1f1 b8a6 c4d3 c5b4 a3b1 d7c6 d2e1 b4f8 d3g6 c6c5 a2a4 h7h5 e5e6 a6b8 e6e7 b6b5 f2f4 d5b4 f4g5 f8g7 f1f7 b5d7 g6d3 b8a6 d3c2 d4c3 f7g8 g7f6 e1f2 d7a4 d1d2 b4c2 g8d8 c5c6 g5g6 h5f5 f2e2 f5f3 d8f8 f6h8 f8f4 a4e4 f4e3 h8g7 b1c3 c2d4 e2d1 c6c7 e3d3 a6b4 d3d4 f3d3 d4e5 c7c6 e5e4 c6c5 e4e5 g7e5 c3e2 b7b6 g6g7 e5f4 a1c1 b4c2 h3g1 d3d4 g1f3 f4g5 f3e1 d4d3 e1c2 g5d2 c2b4 c5d6 b4c2 d6d7 e2c3 a5a4 c2a3 a4b3 c3a2 d7e6 c1c3 e6e5 a3c4 e5d5 c3c2 d3g3 c4d6 g3d3 h2h4 d2g5 d1e2 d5d4 c2b2 d3g3 e7e8q g5d2
31,W,material_resign,63,7.310215,e2e3 g7g5 g2g3 e7e5 b1a3 a7a5 e1e2 c7c5 d1e1 b7b6 e2d3 f7f5 a1b1 g8f6 h2h3 d8e7 h3h4 b6b5 f1h3 b8a6 b2b3 h7h5 b1b2 a8a7 h3f1 g5h4 a3c4 d7d6 f2f3 h4h3 g1e2 c8b7 f1g2 h8g8 b2b1 b7d5 b1a1 d5b7 e1f2 f5f4 e3e4 g8g4 a2a4 f8g7 h1h2 b5c4 b3c4 a6b4 d3c3 h5h4 g2h3 g7h6 c1a3 e8f8 f3g4 b4a2 a1a2 b7d5 c4d5 e7g7 c3b2 f6g4 c2c3
32,W,material_resign,37,7.365133,g2g4 d7d6 a2a3 g7g5 g1f3 e7e5 h1g1 b7b6 f3g5 g8f6 d2d4 f6e4 b2b4 e8d7 e2e3 d8g5 c1d2 c7c6 d4d5 h7h5 e1e2 c6d5 h2h3 a7a5 b4b5 e4c3 b1c3 a8a7 a3a4 d5d4 c3d5 g5g4 g1g4 h8g8 g4g5 f7f6 d5f6
33,B,material_resign,146,7.305023,c2c4 g7g5 g2g4 f7f6 e2e4 f6f5 g1h3 e8f7 e1e2 b8a6 a2a3 b7b6 b2b4 c7c5 h1g1 h7h5 d1e1 h8h7 e4f5 h5h4 e2d3 a8b8 g1h1 h7h8 e1d1 h8h6 h3g1 e7e5 d1a4 g8f6 a4a5 f7g7 h2h3 d8c7 c1b2 f6g4 b1c3 c7b7 a1d1 e5e4 d3e2 f8d6 f1g2 a6b4 d2d3 b8a8 d1a1 a8b8 d3d4 b6a5 d4c5 h6g6 h3g4 b7b5 f2f4 b5b6 c3d5 g7h6 e2e3 d6c7 g2h3 c8b7 a1b1 b8h8 a3a4 g6f6 b2d4 h6g7 b1b4 b7c6 b4b3 c7f4 e3f2 a7a6 g1f3 f4h2 h1f1 h2b8 b3d3 b8g3 f2e2 g7f7 d4e5 f6e6 f3g5 f7e8 d5b6 h8h5 e2e3 e8f8 e3d2 e6h6 b6d7 c6d7 f1f3 h5g5 d3e3 d7e6 c5c6 g3f4 e5c3 e6g8 c3f6 f4e5 e3d3 e5b2 f3g3 e4d3 f6c3 f8e8 g3d3 e8e7 d3e3 e7f8 d2d1 h6h7 c3h8 h7a7 e3e1 b2c3 c6c7 c3f6 d1e2 g5g6 h8g7 f8f7 g7h8 f6a1 g4g5 g6g5 c4c5 a1h8 e1a1 g5g1 e2e3 g1a1 h3g4 a1a4 c7c8q h8e5 c8e8 f7e8 g4h3 a4d4 h3g2 g8c4
34,B,material_resign,98,7.273075,e2e3 h7h5 g1h3 h8h7 g2g4 g8f6 d2d4 g7g5 f1d3 b7b5 e1e2 b5b4 g4h5 c7c5 b1a3 d8c7 f2f3 b4a3 d4d5 a7a5 c1d2 a8a6 e2f2 c7f4 d2c1 d7d6 c1d2 f4g4 c2c3 h7h6 d2c1 f6h7 h3g5 e7e5 c1d2 f8g7 f2e1 a3b2 d1e2 h7f6 h1g1 b2b1q a1b1 h6h8 g1f1 c8d7 a2a4 h8f8 d3b5 a6a8 e2d3 b8c6 d3d4 a8b8 g5h3 g4g1 d4f4 c5c4 f4h4 b8b6 h3f2 e8e7 b5c4 d7e8 h4f6 e7d7 f6e7 d7e7 e1e2 g1g2 e2e1 e7f6 c4b3 f6f5 e1e2 b6b7 b3a2 g2f3 e2d3 c6b4 b1b4 b7d7 f1c1 g7h6 c3c4 f3e3 d3c2 e5e4 b4b2 d7c7 b2b3 e8b5 h2h4 e3d2 c2b1 b5e8 c1h1 f5e5
35,W,material_resign,31,7.311734,g2g4 g7g5 d2d4 b7b6 c1f4 f8g7 a2a3 e8f8 a1a2 c7c5 f1h3 e7e5 d1d2 d8f6 e2e4 e5d4 c2c4 f8e8 b1c3 c8a6 f4g5 f6f5 d2c2 h7h5 e1d2 a6b5 e4f5 g8f6 g5f6 h8f8 b2b4
